
"Component Count:","125"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor", "Ordner number"
"C1, C2, C3, ","3","33","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","Mouser","CC805FRNPO9BN330"
"C4, C5, C8, C9, C10, C12, C14, C15, C16, C17, C18, C19, C20, C21, C22, C24, C31, C32, C33, C34, C35, C36, C37, C38, C50, C51, ","26","100n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","Mouser","80-C0805R104J5RACTU"
"C7, C11, C13, C29, C39, C40, C41, C42, ","8","10µF 16V","CP","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C","Polarized capacitor","Mouser","581-TAJC106M016"
"C23, ","1","330","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","Mouser","CC0805FRNPO9BN331"
"D1, D2, D3, D4, D5, ","5","BAV99","BAV99","Package_TO_SOT_SMD:SOT-23","BAV99 High-speed switching diodes, SOT-23","Mouser","637-BAV99"
"D6, ","1","SM4007","D","Diode_SMD:D_MELF","Diode","Mouser","833-SM4007PL-TP"
"D50, ","1","LED","LED","Diode_SMD:D_0805_2012Metric","Light emitting diode","Mouser","710-150080RS75000"
"F1, ","1","RUEF090","Polyfuse","Fuse:Fuse_Bourns_MF-RG300","Resettable fuse, polymeric positive temperature coefficient","Mouser","650-RUEF090"
"J1, ","1","Bus_ISA_8bit","Bus_ISA_8bit","Connector_PCBEdge:BUS_XT","8-bit ISA-PC bus connector","jlcpcb","a part of PCBs"
"J2, ","1","VLB_BUS","VLB_BUS","Connector_PCBEdge:BUS_VLB","",",""jlcpcb","a part of PCBs"
"J50, ","1","VAFC","Conn_02x13_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","Generic connector, double row, 02x13","Mouser","538-90131-0773"
"JP1, ","1","27C512","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","Solder Jumper, 2-pole, open","jlcpcb","part of PCB"
"JP2, ","1","27C256","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged","jlcpcb","part of PCB"
